depth,width,coord_user_time_seconds,coord_source_rel_path,spice_netlist_seconds,spice_simulation_seconds,spice_total_seconds,spice_timestamp,spice_source_rel_path
1,64,5.10,hidden_1/hidden_64/20260317-113144_experimental/time_digits_validate_with_residual.log,0.040092861047014594,20.96885287296027,22.023331308970228,2026-03-04 18:09:41,hidden_1/hidden_64/redundant/20260311-172944_experimental/validation_states_spice_layers.timing.json
1,128,1.29,hidden_1/hidden_128/20260317-113144_experimental/time_digits_validate_with_residual.log,0.07591803895775229,37.97930694196839,39.070677741081454,2026-02-25 12:05:05,hidden_1/hidden_128/validation_states_spice_layers.timing.json
1,256,3.67,hidden_1/hidden_256/20260317-113706_experimental/time_digits_validate_with_residual.log,0.15656674816273153,93.62051490182057,94.7898937149439,2026-03-04 18:11:17,hidden_1/hidden_256/validation_states_spice_layers.timing.json
1,512,3.84,hidden_1/hidden_512/20260317-113706_experimental/time_digits_validate_with_residual.log,0.3647950098384172,309.7582719491329,311.14014074695297,2026-03-04 18:16:29,hidden_1/hidden_512/validation_states_spice_layers.timing.json
1,1024,4.54,hidden_1/hidden_1024/20260317-113706_experimental/time_digits_validate_with_residual.log,0.659197264816612,1093.2722801950295,1094.951770302141,2026-03-04 18:34:45,hidden_1/hidden_1024/validation_states_spice_layers.timing.json
2,64,12.45,hidden_2/hidden_64/20260313-150228_experimental/time_digits_validate_with_residual.log,0.06722920690663159,60.15447337599471,61.481018747901544,2026-03-05 11:22:06,hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.timing.json
2,128,14.69,hidden_2/hidden_128/20260313-150244_experimental/time_digits_validate_with_residual.log,0.14257801603525877,542.5731786359102,543.7305558170192,2026-03-02 15:37:10,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json
2,256,14.37,hidden_2/hidden_256/20260313-150302_experimental/time_digits_validate_with_residual.log,0.4471110620070249,4299.695159645984,4301.242321081925,2026-03-05 12:33:49,hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.timing.json
2,512,22.35,hidden_2/hidden_512/20260313-150320_experimental/time_digits_validate_with_residual.log,,,,,
2,1024,25.94,hidden_2/hidden_1024/20260313-150347_experimental/time_digits_validate_with_residual.log,,,,,
3,64,23.85,hidden_3/hidden_64/validation/20260313-151007_experimental/time_digits_validate_with_residual.log,0.0727189730387181,163.99301343597472,165.07923992117867,2026-03-11 16:23:08,hidden_3/hidden_64/validation_states_spice_layers.timing.json
3,128,41.67,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/time_digits_validate_with_residual.log,0.20281082205474377,1130.263826085953,1131.4812394059263,2026-03-02 16:08:24,hidden_3/hidden_128/amp_4/validation_states_spice_layers.timing.json
3,256,13.40,hidden_3/hidden_256/validation/20260317-161514_experimental/time_digits_validate_with_residual.log,0.7235300438478589,13722.047034711111,13723.796278140042,2026-03-11 20:11:53,hidden_3/hidden_256/validation_states_spice_layers.timing.json
3,512,36.27,hidden_3/hidden_512/validation/20260313-171929_experimental/time_digits_validate_with_residual.log,,,,,
